time_s,joint,position,velocity,effort
1762773237.7799163,joint_a1,0.4472226704851968,-0.1204920543498565,0.0
1762773237.7799163,joint_a2,1.4093213582487165,-0.08159217650594877,0.0
1762773237.7799163,joint_a3,0.8922091903385295,-0.02138185312262655,0.0
1762773237.7799163,joint_a4,1.9516723622580125,0.01058228915737401,0.0
1762773237.7799163,joint_a5,2.463732501231393,-0.043812423167965395,0.0
1762773237.7799163,joint_a6,1.0203256437388097,-0.1462091820366401,0.0
1762773237.7799163,joint_a7,-0.7295827391980457,0.07551293914809978,0.0
1762773237.7841926,joint_a1,0.44667471780653406,-0.1204920543498565,0.0
1762773237.7841926,joint_a2,1.4089503076270335,-0.08159217650594877,0.0
1762773237.7841926,joint_a3,0.8921119536887228,-0.02138185312262655,0.0
1762773237.7841926,joint_a4,1.9517204865407418,0.01058228915737401,0.0
1762773237.7841926,joint_a5,2.4635332587604837,-0.043812423167965395,0.0
1762773237.7841926,joint_a6,1.0196607392073505,-0.1462091820366401,0.0
1762773237.7841926,joint_a7,-0.7292393346681524,0.07551293914809978,0.0
1762773237.7885082,joint_a1,0.4461449242443983,-0.1204920543498565,0.0
1762773237.7885082,joint_a2,1.4085915535990876,-0.08159217650594877,0.0
1762773237.7885082,joint_a3,0.8920179394552363,-0.02138185312262655,0.0
1762773237.7885082,joint_a4,1.9517670159878369,0.01058228915737401,0.0
1762773237.7885082,joint_a5,2.463340619172245,-0.043812423167965395,0.0
1762773237.7885082,joint_a6,1.0190178695692975,-0.1462091820366401,0.0
1762773237.7885082,joint_a7,-0.7289073105422922,0.07551293914809978,0.0
1762773237.7933478,joint_a1,0.4456132129307254,-0.1204920543498565,0.0
1762773237.7933478,joint_a2,1.4082315009500603,-0.08159217650594877,0.0
1762773237.7933478,joint_a3,0.8919235849081757,-0.02138185312262655,0.0
1762773237.7933478,joint_a4,1.9518137138626461,0.01058228915737401,0.0
1762773237.7933478,joint_a5,2.4631472822654796,-0.043812423167965395,0.0
1762773237.7933478,joint_a6,1.0183726728659033,-0.1462091820366401,0.0
1762773237.7933478,joint_a7,-0.7285740845524925,0.07551293914809978,0.0
1762773237.79772,joint_a1,0.4450473621213254,-0.12214871352642051,0.0
1762773237.79772,joint_a2,1.407848330463295,-0.0816662471144446,0.0
1762773237.79772,joint_a3,0.8918231721551424,-0.020243269103441257,0.0
1762773237.79772,joint_a4,1.9518634100597714,0.00741250975403477,0.0
1762773237.79772,joint_a5,2.462941531809608,-0.04349268928014681,0.0
1762773237.79772,joint_a6,1.017686050130126,-0.14471031833673265,0.0
1762773237.79772,joint_a7,-0.7282194631795922,0.07499725592674145,0.0
1762773237.8025663,joint_a1,0.4444524877481085,-0.12214871352642051,0.0
1762773237.8025663,joint_a2,1.407450609061549,-0.0816662471144446,0.0
1762773237.8025663,joint_a3,0.8917245857544173,-0.020243269103441257,0.0
1762773237.8025663,joint_a4,1.9518995095975118,0.00741250975403477,0.0
1762773237.8025663,joint_a5,2.4627297188029207,-0.04349268928014681,0.0
1762773237.8025663,joint_a6,1.0169812988688696,-0.14471031833673265,0.0
1762773237.8025663,joint_a7,-0.7278542203184567,0.07499725592674145,0.0
1762773237.806372,joint_a1,0.44398816482057024,-0.12214871352642051,0.0
1762773237.806372,joint_a2,1.407140171809723,-0.0816662471144446,0.0
1762773237.806372,joint_a3,0.8916476351775205,-0.020243269103441257,0.0
1762773237.806372,joint_a4,1.9519276867115398,0.00741250975403477,0.0
1762773237.806372,joint_a5,2.4625643903911016,-0.04349268928014681,0.0
1762773237.806372,joint_a6,1.0164312126934587,-0.14471031833673265,0.0
1762773237.806372,joint_a7,-0.7275691338494804,0.07499725592674145,0.0
1762773237.815896,joint_a1,0.44315474927842546,-0.12214871352642051,0.0
1762773237.815896,joint_a2,1.4065829664356435,-0.0816662471144446,0.0
1762773237.815896,joint_a3,0.8915095162026451,-0.020243269103441257,0.0
1762773237.815896,joint_a4,1.9519782619542663,0.00741250975403477,0.0
1762773237.815896,joint_a5,2.462267641598836,-0.04349268928014681,0.0
1762773237.815896,joint_a6,1.0154438602692806,-0.14471031833673265,0.0
1762773237.815896,joint_a7,-0.727057430722177,0.07499725592674145,0.0
1762773237.819629,joint_a1,0.4423653733556042,-0.12214871352642051,0.0
1762773237.819629,joint_a2,1.406055205091965,-0.0816662471144446,0.0
1762773237.819629,joint_a3,0.8913786957562554,-0.020243269103441257,0.0
1762773237.819629,joint_a4,1.9520261646833132,0.00741250975403477,0.0
1762773237.819629,joint_a5,2.4619865737042566,-0.04349268928014681,0.0
1762773237.819629,joint_a6,1.0145086818479858,-0.14471031833673265,0.0
1762773237.819629,joint_a7,-0.7265727671805227,0.07499725592674145,0.0
1762773237.824426,joint_a1,0.4417856860983862,-0.12214871352642051,0.0
1762773237.824426,joint_a2,1.4056676374997217,-0.0816662471144446,0.0
1762773237.824426,joint_a3,0.8912826262619077,-0.020243269103441257,0.0
1762773237.824426,joint_a4,1.9520613426014786,0.00741250975403477,0.0
1762773237.824426,joint_a5,2.4617801682741054,-0.04349268928014681,0.0
1762773237.824426,joint_a6,1.0138219228547394,-0.14471031833673265,0.0
1762773237.824426,joint_a7,-0.7262168489532084,0.07499725592674145,0.0
1762773237.828552,joint_a1,0.4412811813743437,-0.12214871352642051,0.0
1762773237.828552,joint_a2,1.4053303354825772,-0.0816662471144446,0.0
1762773237.828552,joint_a3,0.8911990164996932,-0.020243269103441257,0.0
1762773237.828552,joint_a4,1.9520919581198901,0.00741250975403477,0.0
1762773237.828552,joint_a5,2.461600532594206,-0.04349268928014681,0.0
1762773237.828552,joint_a6,1.013224233062429,-0.14471031833673265,0.0
1762773237.828552,joint_a7,-0.7259070915369169,0.07499725592674145,0.0
1762773237.8338432,joint_a1,0.4406458349792792,-0.12214871352642051,0.0
1762773237.8338432,joint_a2,1.40490555527651,-0.0816662471144446,0.0
1762773237.8338432,joint_a3,0.891093722815643,-0.020243269103441257,0.0
1762773237.8338432,joint_a4,1.9521305136741374,0.00741250975403477,0.0
1762773237.8338432,joint_a5,2.4613743089808082,-0.04349268928014681,0.0
1762773237.8338432,joint_a6,1.012471534352557,-0.14471031833673265,0.0
1762773237.8338432,joint_a7,-0.7255169995349862,0.07499725592674145,0.0
1762773237.8375194,joint_a1,0.4401957984431263,-0.12214871352642051,0.0
1762773237.8375194,joint_a2,1.40460466962728,-0.0816662471144446,0.0
1762773237.8375194,joint_a3,0.8910191398712574,-0.020243269103441257,0.0
1762773237.8375194,joint_a4,1.952157823828437,0.00741250975403477,0.0
1762773237.8375194,joint_a5,2.4612140674304346,-0.04349268928014681,0.0
1762773237.8375194,joint_a6,1.0119383733512683,-0.14471031833673265,0.0
1762773237.8375194,joint_a7,-0.7252406846700659,0.07499725592674145,0.0
1762773237.8450508,joint_a1,0.4395938648514573,-0.12214871352642051,0.0
1762773237.8450508,joint_a2,1.4042022285697808,-0.0816662471144446,0.0
1762773237.8450508,joint_a3,0.8909193835715242,-0.020243269103441257,0.0
1762773237.8450508,joint_a4,1.9521943517499412,0.00741250975403477,0.0
1762773237.8450508,joint_a5,2.4609997408942483,-0.04349268928014681,0.0
1762773237.8450508,joint_a6,1.0112252589912947,-0.14471031833673265,0.0
1762773237.8450508,joint_a7,-0.7248711075675158,0.07499725592674145,0.0
